tier	slug	title	author	matched	hits
S2(DB無hit)	daikaitou-musashi-no-1	大怪盗ムサシ:no.1	山本貴嗣	0	0
S2(DB無hit)	eroi-furinzuma	エロい不倫妻	設楽清人	0	0
S2(DB無hit)	sakura-2020	さくら	フクシマハルカ	0	0
S2(DB無hit)	senpuu-no-iriya	旋風のイリヤ	萩原玲二	0	0
S2(DB無hit)	sotsugyou-made	卒業まで	浜田芳郎	0	0
S2(hitあり著者不一致)	game-comic-collection	ゲームコミックコレクション	ことぶきつかさ	0	1
S2(hitあり著者不一致)	hanakui-gentouki	花喰幻燈機	三浦靖冬	0	7
S2(hitあり著者不一致)	junai-damontsu	純愛だもんッ!	相沢早苗	0	9
S2(hitあり著者不一致)	kanjukutsuma-no-fushidara-nikki	完熟妻のふしだら日記	滝恵介	0	1
S2(hitあり著者不一致)	kikou-jinruiden-body	機甲人類伝BODY	前田俊夫	0	10
S2(hitあり著者不一致)	koukousei-prowler	高校星プラウラ	Isutoshi	0	8
S2(hitあり著者不一致)	kyonyuu-bijiri-sutekide-yasashii-shirouto-hitozuma	巨乳美尻ステキで優しいしろうと人妻	セニョール大悦	0	1
S2(hitあり著者不一致)	suki-dakedo-suki-dakara	好きだけど好きだから	ぢたま(某)	0	10
S2(hitあり著者不一致)	zodiac-lovers	Zodiac lovers	B.たろう	0	10
S3(成年DB一致)	ai-aru-juuyonya	愛ある十四夜	武林武士	1	10
S3(成年DB一致)	ai-to-yokubou-no-1-6	愛と欲望の1/6	武林武士	3	8
S3(成年DB一致)	anata-ni-mo-angel	アナタにもAngel	石原浩平	5	7
S3(成年DB一致)	asagaya-kusarezu-gakuen	阿佐谷腐れ酢学園	SABE	6	10
S3(成年DB一致)	cherry-2004-2	Cherry	ふじいあきこ	3	10
S3(成年DB一致)	chichi-bakka	乳ばっか!!	河本ひろし	3	3
S3(成年DB一致)	dokutaa-aiko-no-shinsatsushitsu	Dr.亜衣子の診察室	大島岳詩	2	2
S3(成年DB一致)	hatsu-echi	はつ☆えち	歌麿	2	10
S3(成年DB一致)	joyuu-no-onedan	女優のお値段	北野健一	3	5
S3(成年DB一致)	koi-kara-hajimaru	恋からはじまる	小林拓己	3	6
S3(成年DB一致)	little-sister	LITTLE SISTER	中島初美	3	6
S3(成年DB一致)	manamusumebako	愛娘箱	RINRIN	2	3
S3(成年DB一致)	moe-moe-ichigo	萌え萌え苺	雅亜公	3	10
S3(成年DB一致)	naburi-zuma	嬲り妻	ふじいあきこ	5	6
S3(成年DB一致)	ojou-sama-mo-majo	お嬢さまも魔女	B.たろう	4	10
S3(成年DB一致)	otsuki-sama-no-kaerimichi	おつきさまのかえりみち	三浦靖冬	6	10
S3(成年DB一致)	para-izo	ぱら★いぞ	道満晴明	7	10
S3(成年DB一致)	ritou-no-umi	りとうのうみ	たかみち	5	5
S3(成年DB一致)	shirouto-hitozuma-nandemo-shiteageru	シロウト人妻何でもシテあげる	セニョール大悦	1	1
S3(成年DB一致)	towa-ni-miru-yume	とわにみるゆめ。	三浦靖冬	9	10
S3(成年DB一致)	turbo-lover	TURBO LOVER	中島初美	7	9
S3(成年DB一致)	yui-museum	唯ミュージアム	唯登詩樹	3	4
